material,codec,texture,mse,psnr_db,ssim
material_13,ntc,metallic,3.345992156198584e-06,54.754750814619875,0.99721492062564
material_13,bc,diffuse,0.000657943710899011,31.818112600207527,0.8489714873217092
material_13,bc,normal,0.0014384673828918275,28.420999812471997,0.7279003550713744
material_13,bc,roughness,0.001426396723461176,28.45759667438118,0.7518611301353035
material_13,bc,metallic,1.7811479183057603e-05,47.493000123523494,0.9948077058523379
material_13,astc,diffuse,0.00023516927058672363,36.28619427861679,0.910718106957055
material_13,astc,normal,0.00075330354467391,31.2302998898757,0.811072827679129
material_13,astc,roughness,0.000661236270530837,31.79643332264279,0.8600806101798275
material_13,astc,metallic,3.265087144712519e-05,44.86105222976132,0.9925099275401879
material_14,ntc,diffuse,3.334434729855611e-05,44.76977779292255,0.9969350605452849
material_14,ntc,normal,1.756239720536732e-05,47.55416204716533,0.995558636450065
material_14,ntc,roughness,0.00010195067761156855,39.91609883353354,0.9963966165606984
material_14,ntc,metallic,5.351183141722067e-05,42.71550185247345,0.9952471857321925
material_14,bc,diffuse,0.004394172378684274,23.57122910173142,0.46544107102975424
material_14,bc,normal,0.0014682768058402074,28.3319206164304,0.6477624207921916
material_14,bc,roughness,0.00488462945053963,23.111683764057535,0.9062152064068312
material_14,bc,metallic,0.004355349076918647,23.609770309883537,0.48042468080376177
material_14,astc,diffuse,0.0011875247152170448,29.253573429067302,0.8569426051373785
material_14,astc,normal,0.0007935764618212894,31.00411222220726,0.777170800840461
material_14,astc,roughness,0.0016166972977899837,27.913712875801984,0.9528316662950357
material_14,astc,metallic,0.0015622537897645112,28.062484131340256,0.804798181055184
material_15,ntc,diffuse,3.386968435829226e-05,44.70188850656541,0.9956465377975308
material_15,ntc,normal,1.6411876737139122e-05,47.84841753500234,0.9958959426848178
material_15,ntc,roughness,9.128564427132783e-05,40.39597514951496,0.996777018247894
material_15,ntc,metallic,5.166339715549364e-05,42.868170399478885,0.9950688365085814
material_15,bc,diffuse,0.0033861869893763038,24.702890632938153,0.5126470416177353
material_15,bc,normal,0.0014581290742466193,28.36204030372003,0.6512148235021923
material_15,bc,roughness,0.004840606890694088,23.151001853067484,0.9079490611961981
material_15,bc,metallic,0.004278219563863331,23.687369306276636,0.4863267529624211
material_15,astc,diffuse,0.0011932655360811213,29.232629024967046,0.7621510443365125
material_15,astc,normal,0.0007909959177418938,31.018257578509253,0.7793166527263179
material_15,astc,roughness,0.0015917288951960234,27.98130899755732,0.9545977274458447
material_15,astc,metallic,0.0015283286630122267,28.15783241844125,0.8070681769794293
material_16,ntc,diffuse,3.4532145115391526e-05,44.61776442709294,0.9969099754671903
material_16,ntc,normal,1.6090699984730044e-05,47.934250626198505,0.9959733740176433
material_16,ntc,roughness,8.841576119043294e-05,40.53470309784498,0.9962981787951227
material_16,ntc,metallic,5.219213124189794e-05,42.823949685651634,0.9954638109873284
material_16,bc,diffuse,0.004655044299121413,23.320761817562282,0.44217535813962305
material_16,bc,normal,0.0014551730981503194,28.3708534269173,0.6512761744238177
material_16,bc,roughness,0.004667256955533603,23.309382884016724,0.9076811677559465
material_16,bc,metallic,0.0043419343454060766,23.623167478192837,0.48441495811076274
